 ,Track no,Slice no,X,Y,Distance,Velocity,Pixel Value,,,,,,,
1,1,1,254,1,-1,-1,32211,,,,,Track 1,0,0
2,1,2,256,1,0.258,0.129,23522,,,,,,2,0
3,1,3,260,2,0.532,0.266,17448,,,,,,6,1
4,1,4,262,3,0.288,0.144,15611,,,,,,8,2
5,1,5,266,3,0.516,0.258,15598,,,,,,12,2
6,1,6,266,3,0,0,16052,,,,,,12,2
7,1,7,268,3,0.258,0.129,17553,,,,,,14,2
8,1,8,270,3,0.258,0.129,16843,,,,,,16,2
9,1,9,272,3,0.258,0.129,13090,,,,,,18,2
10,1,10,269,3,0.387,0.194,15913,,,,,,15,2
11,1,11,268,3,0.129,0.065,13176,,,,,,14,2
12,1,12,266,2,0.288,0.144,20109,,,,,,12,1
13,1,13,266,2,0,0,26470,,,,,,12,1
14,1,14,266,2,0,0,10162,,,,,,12,1
15,1,15,270,2,0.516,0.258,18399,,,,,,16,1
16,1,16,270,6,0.516,0.258,11051,,,,,,16,5
17,1,17,269,16,1.296,0.648,16794,,,,,,15,15
18,1,18,277,22,1.29,0.645,11522,,,,,,23,21
19,1,19,276,28,0.785,0.392,14362,,,,,,22,27
20,1,20,279,34,0.865,0.433,10007,,,,,,25,33
21,1,21,285,41,1.189,0.595,13157,,,,,,31,40
22,1,22,290,50,1.328,0.664,10985,,,,,,36,49
23,1,23,298,61,1.755,0.877,9865,,,,,,44,60
24,1,24,304,76,2.084,1.042,8611,,,,,,50,75
25,1,25,303,90,1.811,0.905,10901,,,,,,49,89
26,1,26,300,98,1.102,0.551,12620,,,,,,46,97
27,1,27,284,104,2.204,1.102,13667,,,,,,30,103
28,1,28,268,120,2.919,1.459,17122,,,,,,14,119
29,1,29,258,132,2.015,1.008,15019,,,,,,4,131
30,1,30,257,129,0.408,0.204,26412,,,,,,3,128
31,1,31,279,112,3.587,1.793,23142,,,,,,25,111
32,1,32,298,92,3.559,1.779,25885,,,,,,44,91
33,1,33,318,75,3.386,1.693,16787,,,,,,64,74
34,1,34,338,76,2.583,1.292,12469,,,,,,84,75
35,1,35,322,76,2.064,1.032,21007,,,,,,68,75
36,1,36,292,98,4.799,2.4,42887,,,,,,38,97
37,1,37,261,130,5.747,2.874,52273,,,,,,7,129
38,1,38,253,182,6.787,3.393,43806,,,,,,-1,181
39,1,39,245,213,4.13,2.065,52825,,,,,,-9,212
40,1,40,234,220,1.682,0.841,34156,,,,,,-20,219
41,1,41,256,160,8.244,4.122,57597,,,,,,2,159
42,1,42,262,136,3.191,1.596,33778,,,,,,8,135
43,1,43,274,111,3.577,1.789,38640,,,,,,20,110
44,1,44,286,98,2.282,1.141,35176,,,,,,32,97
45,1,45,279,115,2.372,1.186,38832,,,,,,25,114
46,1,46,266,154,5.303,2.652,35311,,,,,,12,153
47,1,47,290,127,4.66,2.33,32322,,,,,,36,126
48,1,48,290,136,1.161,0.581,26323,,,,,,36,135
49,1,49,286,152,2.128,1.064,31923,,,,,,32,151
50,1,50,264,159,2.978,1.489,27399,,,,,,10,158
51,1,51,262,154,0.695,0.347,29545,,,,,,8,153
52,1,52,262,154,0,0,21948,,,,,,8,153
53,1,53,264,152,0.365,0.182,21133,,,,,,10,151
54,1,54,259,146,1.008,0.504,16541,,,,,,5,145
55,1,55,254,127,2.534,1.267,25486,,,,,,0,126
56,1,56,248,122,1.008,0.504,35887,,,,,,-6,121
